company_name,original_website,final_url,redirected,domain_changed,merger_indicators,status,confidence,notes,acquirer_name,announcement_link
Bitget Wallet,https://web3.bitget.com/en,,False,False,Lien acquisition trouvé via Google,CLOSED,0.8,Site inaccessible,,https://www.globenewswire.com/news-release/2025/01/02/3003582/0/en/Bitget-Wallet-Unveils-1M-Airdrop-for-BGB-Holders.html
HTX,https://www.huobi.com,https://www.htx.com/,True,True,Redirection significative: www.huobi.com → www.htx.com | Lien acquisition trouvé via Google,CLOSED,0.7,Redirection vers domaine différent,,https://www.htx.com/support/360000140841
Digital Asset,http://www.digitalasset.com,https://www.digitalasset.com/,True,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://www.digitalasset.com/newsroom
RTFKT,https://rtfkt.com/,https://rtfkt.com/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Blockfolio,http://www.blockfolio.com/,https://claims.ftx.com/,True,True,Redirection significative: www.blockfolio.com → claims.ftx.com | Lien acquisition trouvé via Google,CLOSED,0.7,Redirection vers domaine différent,,https://www.orbs.com/orbs-is-now-available-on-blockfolio/
Airfox,https://airfox.com/,,False,False,Lien acquisition trouvé via Google,CLOSED,0.9,Site inaccessible,,https://www.businesswire.com/news/home/20200522005034/en/Boston-Based-Fintech-Startup-Airfox-Acquired-by-Brazilian-Retail-Giant-Via-Varejo
Slingshot Finance,https://slingshot.app/,https://slingshot.app/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Valour(Acquired by DeFi Technologies),https://valour.com,https://valour.com/en,True,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://valour.com/en/newsroom/valour-launches-curve-dao-crv-and-litecoin-ltc-etps-on-spotlight-stock-market-expands-nordic-presence-and-reveals-new-products-in-roadmap-to-100-etps
Heap,https://heap.io,https://www.heap.io/,True,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://www.heap.io/press
Coins.ph,https://coins.ph,https://coins.ph/,False,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://coins.ph/blog
TerraZero Technologies,https://terrazero.com/,https://terrazero.com/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Harbor,https://harbor.com,https://bitgo.com,True,True,Redirection significative: harbor.com → bitgo.com | Lien d'annonce trouvé sur la page | Lien acquisition trouvé via Google,CLOSED,0.8999999999999999,Redirection vers domaine différent,,https://www.coindesk.com/markets/2020/02/18/bitgo-acquires-harbor-in-surprise-expansion-beyond-crypto-custody
Tagomi,https://tagomi.com/,https://www.coinbase.com/prime/analytics,True,True,Redirection significative: tagomi.com → www.coinbase.com/prime/analytics | Lien acquisition trouvé via Google,CLOSED,0.7,Redirection vers domaine différent,,https://www.coinbase.com/fr/blog/coinbase-to-acquire-leading-institutional-crypto-brokerage-tagomi
Surf,http://joinsurf.com/,https://www.joinsurf.com/,True,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://cdn.prod.website-files.com/61259c3a942ce1ac7592e0e4/6494b269aae579386101b888_WhiteLabel_Deck_Downloaded-min_compressed.pdf
Headquarters,https://www.hq.xyz,https://www.hq.xyz/,False,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://www.hq.xyz/blog
Wind.app,https://wind.app/,https://www.river.app/payment/home,True,True,Redirection significative: wind.app → www.river.app/payment/home | Lien acquisition trouvé via Google,CLOSED,0.7,Redirection vers domaine différent,,https://www.prnewswire.com/news-releases/river-acquires-wind-to-build-the-super-app-for-global-citizens-302433681.html
HAL,https://www.hal.xyz,,False,False,Lien acquisition trouvé via Google,CLOSED,0.8,Site inaccessible,,https://consensys.io/blog/consensys-acquires-hal-to-augment-infuras-blockchain-notification-and-automation-capabilities
The Block,https://www.theblock.co,https://www.theblock.co/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Candy Digital,https://www.candy.io,https://www.candy.io/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Globacap,http://www.globacap.com,https://globacap.com/,True,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://globacap.com/news/
Mirror,https://mirror.xyz,https://mirror.xyz/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Korbit,http://korbit.co.kr,https://www.korbit.co.kr,True,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://blog.naver.com/korbitbiz
LedgerX,https://ledgerx.com,https://www.miaxdx.com/,True,True,Redirection significative: ledgerx.com → www.miaxdx.com | Lien acquisition trouvé via Google,CLOSED,0.8999999999999999,Redirection vers domaine différent,,https://www.prnewswire.com/news-releases/miax-completes-acquisition-of-ledgerx-from-ftx-debtors-301829665.html
Fyn,https://fynhq.com,https://www.fynhq.com/,True,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://assets.squarespace.com/universal/styles-compressed/commerce-8f5ae491a383883f-min.en-US.css
